WKT,radio,mcc,net,area,cell,unit,longitude,latitude,range,samples,changeable,created,updated,averageSig,shape_X,shape_Y
POINT (-66.072463990121 18.4357452402507),UMTS,330,110,41005,1315126,,-66.07246399,18.43574524,1000,1,1,1458850076,1438504983,,-66.07246399,18.43574524
POINT (-66.1177825897947 18.4687042196241),UMTS,330,110,41005,1314921,,-66.11778259,18.46870422,1000,1,1,1458850076,1457535844,,-66.11778259,18.46870422
POINT (-66.0915850004474 18.412177999715),UMTS,330,110,41005,1313352,,-66.091585,18.412178,1000,4,1,1458850075,1492012861,,-66.091585,18.412178
POINT (-66.3773345900193 18.0773162803221),UMTS,330,110,41004,1234749,,-66.37733459,18.07731628,1000,1,1,1458850075,1438583896,,-66.37733459,18.07731628
POINT (-66.0903167702027 18.4302520795699),UMTS,330,110,41005,1314325,,-66.09031677,18.43025208,1000,1,1,1458850076,1441216966,,-66.09031677,18.43025208
POINT (-66.0985570000055 18.4144589996831),UMTS,330,110,41005,1313451,,-66.098557,18.414459,1000,2,1,1458850076,1476161367,,-66.098557,18.414459
POINT (-66.1054229703937 18.4659576397333),UMTS,330,110,41005,1315322,,-66.10542297,18.46595764,1000,1,1,1458850076,1442936049,,-66.10542297,18.46595764
POINT (-66.1164092998493 18.3835601800583),UMTS,330,110,41005,1313525,,-66.1164093,18.38356018,1000,1,1,1458850076,1441298865,,-66.1164093,18.38356018
POINT (-66.0285186803927 18.4027862500854),UMTS,330,110,41005,311297,,-66.02851868,18.40278625,1000,1,1,1458850075,1446122270,,-66.02851868,18.40278625
POINT (-66.0546112100393 17.9811859104015),UMTS,330,110,41004,1243979,,-66.05461121,17.98118591,1000,1,1,1458850075,1453749733,,-66.05461121,17.98118591
POINT (-66.3622283898283 18.0416107201586),UMTS,330,110,41004,1239349,,-66.36222839,18.04161072,1000,1,1,1458850075,1433158321,,-66.36222839,18.04161072
POINT (-66.0930630002572 18.4268190003966),UMTS,330,110,41005,1314322,,-66.093063,18.426819,1000,2,1,1458850076,1488210354,,-66.093063,18.426819
POINT (-66.1576080296868 17.956466669801),UMTS,330,110,41004,1241779,,-66.15760803,17.95646667,1000,1,1,1458850075,1454561671,,-66.15760803,17.95646667
POINT (-66.0504913303106 18.4522247303871),UMTS,330,110,11680,1315921,,-66.05049133,18.45222473,1000,1,1,1458850069,1449409857,,-66.05049133,18.45222473
POINT (-66.0340118401742 18.2805633496189),UMTS,330,110,41001,26371,,-66.03401184,18.28056335,1000,1,1,1458850069,1447992447,,-66.03401184,18.28056335
POINT (-66.0532379200939 18.449478149597),UMTS,330,110,11680,1315924,,-66.05323792,18.44947815,1000,1,1,1458850069,1449409857,,-66.05323792,18.44947815
POINT (-66.0312652602835 18.3162689196749),UMTS,330,110,41001,1383088,,-66.03126526,18.31626892,1000,2,1,1458850069,1475534133,,-66.03126526,18.31626892
POINT (-66.1095428501224 18.1391143800247),UMTS,330,110,41001,1227180,,-66.10954285,18.13911438,1000,1,1,1458850069,1450210279,,-66.10954285,18.13911438
POINT (-66.0477447504198 18.3190154995657),UMTS,330,110,41001,1352522,,-66.04774475,18.3190155,1000,1,1,1458850069,1447512546,,-66.04774475,18.3190155
POINT (-66.051864620256 18.4508514404417),UMTS,330,110,11680,1321091,,-66.05186462,18.45085144,1000,1,1,1458850069,1449409857,,-66.05186462,18.45085144
POINT (-66.0697174102303 18.3602142303025),UMTS,330,110,41001,1341792,,-66.06971741,18.36021423,1000,1,1,1458850069,1450210286,,-66.06971741,18.36021423
POINT (-66.0436248796844 18.4522247303871),UMTS,330,110,11680,1314826,,-66.04362488,18.45222473,1000,1,1,1458850069,1449501831,,-66.04362488,18.45222473
POINT (-66.0353851301196 18.2846832302469),UMTS,330,110,41001,31490,,-66.03538513,18.28468323,1000,1,1,1458850069,1454435010,,-66.03538513,18.28468323
POINT (-66.042251589739 18.2503509501363),UMTS,330,110,41001,1387562,,-66.04225159,18.25035095,1000,1,1,1458850070,1451548859,,-66.04225159,18.25035095
POINT (-66.0346989995592 18.2455440000556),UMTS,330,110,41001,1387558,,-66.034699,18.245544,1000,2,1,1458850070,1481364246,,-66.034699,18.245544
POINT (-66.0474009998562 18.2942959999605),UMTS,330,110,41001,1386088,,-66.047401,18.294296,1000,4,1,1458850070,1489815491,,-66.047401,18.294296
POINT (-66.1074829997406 18.1459809997234),UMTS,330,110,41001,1387058,,-66.107483,18.145981,1000,2,1,1458850070,1490687863,,-66.107483,18.145981
POINT (-66.1033630004021 18.1459809997234),UMTS,330,110,41001,1387288,,-66.103363,18.145981,1000,2,1,1458850070,1490687863,,-66.103363,18.145981
POINT (-66.0491180403652 18.2132720901349),UMTS,330,110,41001,1386261,,-66.04911804,18.21327209,1000,1,1,1458850070,1450210279,,-66.04911804,18.21327209
POINT (-66.0449981696298 18.2956695597024),UMTS,330,110,41001,1386061,,-66.04499817,18.29566956,1000,1,1,1458850070,1450210279,,-66.04499817,18.29566956
POINT (-66.0408782997936 18.2833099403015),UMTS,330,110,41001,1386461,,-66.0408783,18.28330994,1000,4,1,1458850070,1486855931,,-66.0408783,18.28330994
POINT (-66.1489110000426 18.1780239998078),UMTS,330,110,41001,1393858,,-66.148911,18.178024,1000,3,1,1458850070,1489480814,,-66.148911,18.178024
POINT (-66.0655975296023 18.3409881602754),UMTS,330,110,41001,1383161,,-66.06559753,18.34098816,1000,2,1,1458850069,1483270673,,-66.06559753,18.34098816
